"","male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","gen_health","close_to_people","part_of_school","students_prejudiced","happy_at_school","teachers_fair","school_feels_safe"
"3945",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,85000,11.3504183001091,"(1) (1) Excellent",2,2,2,2,2,2
"3946",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(2) (2) Very good",2,2,2,2,3,3
"3947",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,62000,11.0349057929294,"(2) (2) Very good",2,2,3,1,2,2
"3948",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,4000,8.29429960885724,"(4) (4) Fair",1,1,4,1,2,1
"3949",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,55000,10.9151066458675,"(1) (1) Excellent",1,2,5,1,1,1
"3950",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,50000,10.8197982842103,"(2) (2) Very good",2,2,4,2,2,2
"3951",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,20000,9.90353755128617,"(4) (4) Fair",3,4,4,3,2,2
"3952",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,25000,10.1266711030504,"(2) (2) Very good",4,4,4,4,3,3
"3953",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(1) (1) Excellent",2,2,5,1,2,1
"3954",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,8,30000,10.3089859934221,"(3) (3) Good",3,4,2,3,4,5
"3955",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,20000,9.90353755128617,"(2) (2) Very good",5,5,2,5,4,5
"3956",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,7,30000,10.3089859934221,"(4) (4) Fair",2,2,2,2,4,2
"3957",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(2) (2) Very good",2,2,2,2,2,2
"3958",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,8,NA,NA,"(2) (2) Very good",2,2,4,2,1,2
"3959",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,66000,11.0974251724089,"(2) (2) Very good",2,1,2,2,1,1
"3960",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,7,NA,NA,"(2) (2) Very good",1,1,2,2,3,3
"3961",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,60000,11.002116507732,"(1) (1) Excellent",1,1,5,1,2,1
"3962",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,60000,11.002116507732,"(3) (3) Good",2,2,3,3,4,2
"3963",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,85000,11.3504183001091,"(3) (3) Good",1,1,2,3,2,1
"3964",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,65000,11.0821579333748,"(2) (2) Very good",2,2,5,2,1,1
"3965",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,50000,10.8197982842103,"(1) (1) Excellent",3,2,2,3,4,2
"3966",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12,50000,10.8197982842103,"(2) (2) Very good",2,2,2,2,2,2
"3967",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,25000,10.1266711030504,"(2) (2) Very good",1,1,2,1,1,2
"3968",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,12,5000,8.5173931714189,"(1) (1) Excellent",2,3,2,3,3,3
"3969",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,45000,10.7144399907278,"(2) (2) Very good",2,3,4,3,2,3
"3970",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,14000,9.54688403461792,"(3) (3) Good",2,2,2,2,2,2
"3971",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,11,14000,9.54688403461792,"(4) (4) Fair",3,3,4,2,2,2
