"male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","ever_smoked","ever_alcohol","ever_marijuana","ever_cocaine","delinquency_agg"
1,0,1,0,0,0,0,11,40000,10.5966597327836,1,1,1,0,3
1,1,0,0,0,0,0,8,23000,10.043292972227,0,0,0,0,6
0,0,0,0,0,1,0,11,72000,11.1844352867906,1,1,0,0,2
0,1,0,0,0,0,0,10,16000,9.68040649926887,1,1,1,1,2
1,1,0,0,0,0,0,12,NA,NA,1,1,1,0,3
1,0,1,0,0,0,0,10,9000,9.10509096125709,NA,NA,NA,NA,NA
1,1,0,0,0,0,0,12,NA,NA,1,1,0,0,5
0,1,0,0,0,0,0,9,36000,10.4913019948302,1,0,0,0,3
0,1,0,0,0,0,0,9,18000,9.7981825908907,1,1,1,0,4
0,0,0,0,0,1,1,11,NA,NA,1,1,1,0,1
1,1,0,0,0,0,0,9,10000,9.21044036697652,1,1,NA,0,2
0,0,1,0,0,0,0,10,48000,10.7789771230064,1,1,1,0,4
1,1,0,0,0,0,0,9,30000,10.3089859934221,0,0,0,0,2
1,1,0,0,0,0,0,11,40000,10.5966597327836,0,1,0,0,1
1,1,0,0,0,0,0,10,NA,NA,0,1,0,0,4
1,0,1,0,0,0,0,11,28000,10.2399955028053,1,1,0,0,4
1,0,1,0,0,0,0,8,NA,NA,1,1,NA,NA,0
1,0,1,0,0,0,0,7,48000,10.7789771230064,0,0,0,0,5
1,1,0,0,0,0,0,11,NA,NA,1,1,0,0,1
1,1,0,0,0,0,0,11,50000,10.8197982842103,0,1,0,0,3
0,0,1,0,0,0,0,9,70000,11.1562648066437,1,1,1,0,5
0,0,0,0,1,0,0,7,60000,11.002116507732,0,0,0,0,1
0,0,0,0,1,0,0,10,NA,NA,1,1,NA,NA,0
1,1,0,0,0,0,0,12,32000,10.3735224312936,1,1,0,0,2
0,0,1,0,0,0,0,11,NA,NA,0,0,0,0,0
0,1,0,0,0,0,0,9,70000,11.1562648066437,0,0,0,0,2
1,0,1,0,0,0,0,12,75000,11.2252567257629,1,1,1,1,0
1,1,0,0,0,0,0,9,NA,NA,0,0,0,0,0
1,1,0,0,0,0,0,10,45000,10.7144399907278,1,1,1,0,8
1,1,0,0,0,0,0,9,2000,7.60140233458373,0,1,1,0,4
0,0,1,0,0,0,0,9,NA,NA,0,1,0,0,2
1,0,0,0,0,1,0,12,20000,9.90353755128617,0,1,0,0,3
0,0,0,0,0,1,0,11,20000,9.90353755128617,1,1,0,0,3
0,0,1,0,0,0,0,11,NA,NA,1,1,1,0,6
0,0,1,0,0,0,0,12,24000,10.0858507751287,1,0,0,0,3
1,0,0,0,1,0,0,11,130000,11.7752974217158,0,1,0,0,1
1,1,0,0,0,0,0,7,10000,9.21044036697652,0,0,0,0,1
1,0,1,0,0,0,0,8,6000,8.69968140098951,0,0,0,0,0
0,1,0,0,0,0,0,9,130000,11.7752974217158,1,1,1,0,1
0,0,0,0,1,0,0,11,30000,10.3089859934221,1,1,0,0,3
1,1,0,0,0,0,0,11,NA,NA,1,1,1,0,1
1,1,0,0,0,0,1,9,85000,11.3504183001091,1,1,0,0,6
1,1,0,0,0,0,0,9,80000,11.2897944135779,1,1,0,0,0
1,1,0,0,0,0,0,9,96000,11.4721138870624,1,1,1,0,6
1,0,1,0,0,0,0,11,52000,10.8590182281479,0,1,0,0,6
1,0,1,0,0,0,0,11,NA,NA,1,1,0,0,0
0,1,0,0,0,0,0,12,NA,NA,1,NA,NA,NA,0
0,1,0,0,0,0,0,12,80000,11.2897944135779,0,1,0,0,0
0,1,0,0,0,0,0,11,14000,9.54688403461792,1,1,0,0,1
1,1,0,1,0,0,0,12,40000,10.5966597327836,1,1,0,0,0
1,1,0,0,0,0,0,11,39000,10.5713425658087,1,1,1,0,1
0,0,0,0,1,0,0,10,38000,10.5453677541517,0,0,0,0,0
0,1,0,0,0,0,0,9,50000,10.8197982842103,1,1,1,1,8
