"female","age","race","hispanic","education","income","log_income"
0,18,"White",1,"Some HS",150,5.01063529409626
0,66,"White",0,"HS",37400,10.5294259834026
0,38,"Chinese",0,"4+ years college",100000,11.5129254649702
1,33,"Two major races",0,"HS",29800,10.3022636724935
0,63,"White",0,"No HS",9330,9.14099029384139
0,31,"White",0,"Some college",45000,10.7144177687525
0,53,"White",0,"4+ years college",60000,11.0020998412042
0,29,"Black/African American/Negro",0,"HS",118000,11.6784399034478
0,46,"White",0,"4+ years college",250000,12.4292161968444
0,64,"Black/African American/Negro",0,"Some college",25000,10.1266311038503
1,65,"White",0,"4+ years college",38600,10.5610075554529
0,66,"Other Asian or Pacific Islander",0,"Some HS",2500,7.82404601085629
1,46,"White",0,"4+ years college",42000,10.6454248972655
